num_arms,n_arm,d1,d2,d3,period_blocks,p0,OR1,OR2,OR3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,fix,0.102
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,sep,0.102
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,pool,0.102
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,timemachine,0.622
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,MAPprior,0.102
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,fix,0.091
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,sep,0.091
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,pool,0.091
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,timemachine,0.629
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,MAPprior,0.091
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,fix,0.093
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,sep,0.091
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,pool,0.327
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,timemachine,0.658
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,MAPprior,0.14
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,fix,0.102
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,sep,0.081
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,pool,0.587
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,timemachine,0.655
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,MAPprior,0.136
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,fix,0.096
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,sep,0.096
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,pool,0.255
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,timemachine,0.596
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,2,MAPprior,0.114
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,fix,0.122
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,sep,0.122
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,pool,0.495
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,timemachine,0.606
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.3,0.3,0.3,stepwise,0.1,EQ,H0,3,MAPprior,0.163
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,fix,0.092
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,sep,0.092
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,pool,0.092
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,timemachine,0.612
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,MAPprior,0.092
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,fix,0.095
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,sep,0.095
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,pool,0.095
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,timemachine,0.614
3,100,0,0,0,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,MAPprior,0.095
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,fix,0.083
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,sep,0.109
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,pool,0.317
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,timemachine,0.844
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,MAPprior,0.145
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,fix,0.095
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,sep,0.105
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,pool,0.591
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,timemachine,0.847
3,100,0,100,200,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,MAPprior,0.153
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,fix,0.124
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,sep,0.124
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,pool,0.254
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,timemachine,0.588
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,2,MAPprior,0.139
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,fix,0.098
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,sep,0.098
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,pool,0.486
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,timemachine,0.581
3,100,0,200,400,2,0.3,1.8,1,1,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H0,3,MAPprior,0.132
